"ID","UniqueId","Nickname","Verified","Title","Description","IsCommerce","HashtagName","HeartCount","VideoCount","DiggCount","ShareCount","CommentCount","PlayCount","CollectCount","VideoLink"
"7112674253430000942","fr4udlvr","j ♡","false","slim shady","#spedup #spedupaudios #vibe #nightmareonelmstreet #candlelight #fypシ #amberheardjohnnydepp #deppvheard #depphead #deppheard #jd #fyp #slimshadyedit #nightvibes #b00st #b00stthisp0st #johnnydepp #edwardscissorhands #mortrainey","false","spedup","32500","48","54","1","0","562","4","https://www.tiktok.com/@fr4udlvr/video/7112674253430000942"
"7101781674165341483","shrazzi","Shannon Razzaghi","false","original sound","#deppheard #metoo #justiceforjohnnydepp #amberheardtestimony #amberheard","false","deppheard","8152","349","52","0","1","1234","1","https://www.tiktok.com/@shrazzi/video/7101781674165341483"
"7091761208398974254","distro.tv","DistroTV","false","original sound","Watch live coverage of the Johnny Depp v. Amber Heard defamation trial on the Law and Crime Trial Network for FREE on #DistroTV! #JohnnyDepp #AmberHeard #DeppHeard","false","distrotv","397","43","53","0","0","2841","0","https://www.tiktok.com/@distro.tv/video/7091761208398974254"
"7102740322291059974","tiggtoggel","ℐṽ@η@","false","original sound","#deppheard #fyp#fy#fürdichseiteシ","false","deppheard","16900","621","51","0","1","944","0","https://www.tiktok.com/@tiggtoggel/video/7102740322291059974"
"7261621126420237594","bookverse32","BookVerse 🌌","false","suono originale","Who want to learn DARK PSYCHOLO GY? #darkpsychology #jhonnydepp #amberheard #deppheard #deppheardcase #netflix #tvseries ","false","darkpsychology","54","2","51","0","0","33600","5","https://www.tiktok.com/@bookverse32/video/7261621126420237594"
"7099161684794953006","kaitlyns.version","Kaitlyns.Version","false","original sound","What are your thoughts on the depos heard today? #depp #deppheard #johnnydepp","false","depp","347800","367","505","3","8","24100","7","https://www.tiktok.com/@kaitlyns.version/video/7099161684794953006"
"7101798415310294315","new10designs_backup","New10Designs_backup","false","original sound","get you a cup from my etsy page in my link tree and let’s make it live tonight! let’s have some fun! thanks guys! #tumblersoftiktok #FrunktheBeat #wedidit #followformorevideo #deppheard","false","tumblersoftiktok","1006","13","50","3","5","311","0","https://www.tiktok.com/@new10designs_backup/video/7101798415310294315"
"7100983427331017990","dhoreenbarimbao","Dhoreen Barimbao","false","original sound","Kind of aggravate and defensive! 🤯🤯🤯 #johnnydepp #johnny #deppheard #johnnydepptrial #amberheard #amber","false","johnnydepp","7372","336","99","5","2","2044","1","https://www.tiktok.com/@dhoreenbarimbao/video/7100983427331017990"
"7092470602845572398","josephsmith_3","JosephSmithLovesGod","false","original sound","#themuffinman #deppheard #deppheardtrial","false","themuffinman","57700","402","49","1","2","2479","1","https://www.tiktok.com/@josephsmith_3/video/7092470602845572398"
"7090920600671243562","zxvvxzofficial","ZXVVXZ","false","original sound","Johnny Depp’s Bahamas House Manager States That Amber Heard Took His Keys So That He Couldn’t Leave And That Amber Heard Tried To Claw At Johnny Depp. #johnnydepp #amberheard #johnnydeppcase #deppheard","false","johnnydepp","26900","51","48","1","1","2394","0","https://www.tiktok.com/@zxvvxzofficial/video/7090920600671243562"
"7093823056493235502","xtinerry","xtinerry","false","original sound","I know he's just doing his job but.. #johnnydepp #amberheard #deppheard #deppheardtrial #heardlawyers #lawyers #legal #trial #fyp","false","johnnydepp","11800","243","48","0","0","1218","1","https://www.tiktok.com/@xtinerry/video/7093823056493235502"
"7103146612398116138","missmichelleslife","MissMichellesLife","false","original sound","#stitch with @thatgir2.0 You & the camera person r thinking the same thing! Plus, who sits w their hand in their pocket? #supportjohnnydepp #amberturd #mentoo #witch #deppheard","false","stitch","18500","525","48","0","5","1451","1","https://www.tiktok.com/@missmichelleslife/video/7103146612398116138"
"7103924249634802990","xtinerry","xtinerry","false","Pretty Girl","just curious if there are any Heard supporters 🤷🤷.  #depp #johnnydepp #heard #amberheard #deppheard #deppvheard #trial #johnnydepptrial #teamdepp #foryou #fyp","false","depp","11800","243","47","0","32","1926","0","https://www.tiktok.com/@xtinerry/video/7103924249634802990"
"7104360757034356010","rulaoftheworld","rula 🍉","false","оригинальный звук - Мария","Wowowowwwwww. #greenscreen #johnnydepp #deppheard #deppheardtrial #hearddepp #hearddepptrial #fyp","false","greenscreen","361000","1760","47","0","0","5653","0","https://www.tiktok.com/@rulaoftheworld/video/7104360757034356010"
"7098394950718737710","millennialmommma","hope white","false","original sound","#deppheard #deppvheard","false","deppheard","193900","665","47","1","13","1563","1","https://www.tiktok.com/@millennialmommma/video/7098394950718737710"
"7107115491100986629","b.luanadepp","B.LuanaDepp✨","false","Aesthetic","Hoje é o aniversário dele, John Christopher Depp II, está completando 59 anos hoje! Um artista completo, de puro talento, humildade e bondade no seu coração 😌❤️ #johnnydepp  @johnnydepp  #happybirthdayJohnnyDepp  #imfrombrasil #deppheard","false","johnnydepp","286","9","46","0","2","408","0","https://www.tiktok.com/@b.luanadepp/video/7107115491100986629"
"7097111938383187246","xtinerry","xtinerry","false","original sound",,"false","stitch","11800","243","46","2","1","2692","0","https://www.tiktok.com/@xtinerry/video/7097111938383187246"
"7101883040154012970","new10designs_backup","New10Designs_backup","false","About Damn Time","@new10designs_trista  main account. buy on etsy to make a live cup! link in bio! thanks guys 🤗#tumblersoftiktok #FrunktheBeat #wedidit #followformorevideo #deppheard #smallbusiness","false","tumblersoftiktok","1006","13","46","0","5","371","0","https://www.tiktok.com/@new10designs_backup/video/7101883040154012970"
"7103675846795349291","brookeqturnerofficial","Brooke Q Turner","false","original sound","Juror #4 Beatrice Waterman #johnnydepptrial #juror #deppheardtrial #deppheard #amberheard #depptrial #depp #johnnydepp #psychic","false","4","309","12","46","0","0","4349","2","https://www.tiktok.com/@brookeqturnerofficial/video/7103675846795349291"
"7122591214829833477","jdepp5","ᵈᵉᵉᵖ ^^","false","sonido original","s(creaming) #mortrainey #johnnydepp #90sheartthrob #secretwindow #deppheard #corpsebride #johnnydepptiktok #billyloomis #scream","false","mortrainey","8377","38","46","0","1","151","7","https://www.tiktok.com/@jdepp5/video/7122591214829833477"
"7105041965883854122","straightarrownews","straightarrownews","false","original sound","#johnnydepp #amberheard #johnnydepptiktok #johnnydepptrial #johnnydeppvsamberheard #depp #heard #johnnydeppcourt #johnnydeppamberheardtrial #deppheard #deppheardtrial #deppheardcase #deppheardverdict #johnnydeppverdict #deppverdict #legal #legaltiktok #defamation #amberheardjohnnydepp #amberheardtestimony #johnnydeppamberheard #court #courtroom #courttiktok #metoo #metoomovement #mentoo #entertainment #hollywood #actor #actors #amberheardvsjohnnydepp #entertainmentnews #usnews #tiktoknews #news","false","johnnydepp","1100000","1568","46","0","2","1917","3","https://www.tiktok.com/@straightarrownews/video/7105041965883854122"
"7098078267789298986","thatgirlsamanthaa","Samantha Cooper","false","original sound","😭😭 #fyp #foryoupage #trending #deppheard #FindYourEdge #foryou #funnyaf #comedy #comedytok #whenwomanwin","false","fyp","1900000","501","46","0","0","840","2","https://www.tiktok.com/@thatgirlsamanthaa/video/7098078267789298986"
"7094319425058245934","mads.hos","mads.hos","false","original sound","Aeiou bitch #amberheard #amberturd #johnnydepp #deppheardtrial #deppheard","false","amberheard","76500","344","46","1","6","1524","1","https://www.tiktok.com/@mads.hos/video/7094319425058245934"
"7089251354358680875","northidahonative","NorthIdahoNative","false","The Poop Song","#AmberTurd #AmberHeard #JonnyDepp #johnnydepptrial #deppheard #amberheardjohnnydepp #Turd #ATurdHeardAroundTheWorld","false","amberturd","881","5","451","77","46","9958","8","https://www.tiktok.com/@northidahonative/video/7089251354358680875"
"7100903731239144710","deangagare","Dean_GagaRE","false","Heroes","#johnnydepp #wescraven #robertenglund #anightmareonelmstreet #mentoo #freddykrueger #justiceforjohnnydepp #horror #horrortok #horrormovies #deppvheard #depphead #amberheard #amberturd #johnnydeppisinnocent #johnnydepptiktok #deppheardtrial #deppheard #fyp #fypシ #foryou #foryoupage #trend #trending","false","johnnydepp","40900","69","45","0","1","1843","0","https://www.tiktok.com/@deangagare/video/7100903731239144710"
"7100998711030975790","new10designs_trista","🐘Trista💜⭐️","false","original sound","Still suspended from lives due to age violation! follow me on my backup account so i can go live there! @new10designs_backup Thanks friends =]#followformorevideo #tumblersoftiktoks #smallbusinessowner #livecup #FrunktheBeat #deppheard #getto1000follows🤠😎🥳","false","followformorevideo","24400","224","45","0","3","619","1","https://www.tiktok.com/@new10designs_trista/video/7100998711030975790"
"7098097211979959595","xtinerry","xtinerry","false","original sound","Amber describing how ""its weird"" to see an adult man cry 🥺🥺 #amberheard #johnnydepp #johnnydepptrial #deppheard #deppheardtrial #men #crying #amberheardtestimony #amberheardjohnnydepp #itsweird #foryou #fyp","false","amberheard","11800","243","44","0","7","3222","1","https://www.tiktok.com/@xtinerry/video/7098097211979959595"
"7095884761637391658","vietnami_","Nonie 💕","false","Fashion",,"false","greenscreen","3433","88","44","1","10","1610","4","https://www.tiktok.com/@vietnami_/video/7095884761637391658"
"7104360307769822470","pheenarhperky","DOPAMINE 🧿","false","original sound","#fypシ #fyp #deppheard #johnnydepp #amberheard #johnnydepptiktok #johnnydeppisinnocent #camillevasquez #johnnydeppforever","false","fypシ","237200","234","44","0","23","1360","2","https://www.tiktok.com/@pheenarhperky/video/7104360307769822470"
"7103979257579179310","thatgirlsamanthaa","Samantha Cooper","false","оригинальный звук - Мария","#fyp #deppheard #justiceforbuffalo #america #trending #foryoupage","false","fyp","1900000","501","44","0","0","2039","0","https://www.tiktok.com/@thatgirlsamanthaa/video/7103979257579179310"
